"Site_ID","Lake","LID","Monitoring_ID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Distance_5m","Distance_20m","Distance_deep","Calculated_slope","Notes","Size_m2","Perimter_m","Size_km2","Perimter_km","Catchment_size_km2","Mean_depth_m","Max_depth_m","Volume_km3","Elevation_m","Mixing","TLI","Trophic_state","LakeSPI"
103,"Rotomā",40102,"103_0",-38.06665,176.5956,NA,"Sandy",2024-11-07 15:30:00,"Cloudy+ little windy",7.6,1,1,55.8131770791461,110.464166232739,109.241631729059,0.183080385045913,"Close to road construction rocks",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
104,"Rotomā",40102,"104_0",-38.04867,176.5634,NA,"Emergent Macrophyte",2024-11-07 14:00:00,"Cloudy",7.6,1,1,814.296643729011,939.055885989356,938.877215347447,0.0213020400038131,NA,11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
105,"Rotomā",40102,"105_0",-38.03613,176.5682,NA,"Rocky",2024-11-06 11:50:00,"Sunny",7.6,1,1,124.153795032488,216.999278829447,214.645988148536,0.0931766774329829,NA,11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
106,"Rotomā",40102,"106_0",-38.02546,176.5948,NA,"Sandy",2024-11-06 09:50:00,"Cloudy",7.6,1,1,98.4741658059494,182.056518707555,180.647588784886,0.11071279796497,"Weed in deeper part",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
107,"Rotomā",40102,"107_0",-38.06453,176.6017,NA,"Sandy",2024-11-07 15:47:00,"Cloudy+ little windy",7.6,1,1,55.5296595183968,214.987852345571,186.207468325378,0.107407077599337,"Close to the boat ramp and jetty",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
108,"Rotomā",40102,"108_0",-38.052,176.5715,NA,"Sandy",2024-11-07 15:00:00,"Cloudy",7.6,1,1,149.961670104467,257.676952424475,255.165057668663,0.0783806379397386,"Concreete wall and close to the boat ramp",11137002.6670586,23686.3956326948,11.1370026670586,23.6863956326948,27.8,36.9,83,0.456,316,"Stratified",2.4,"Oligotrophic",51.6
109,"Ōkāreka",15325,"109_0",-38.17284,176.3731,NA,"Rocky",2024-10-31 12:10:00,"Cloudy + windy",6.66666666666667,0,1,34.153824840345,92.3444979116756,91.4282251493164,0.218750828503309,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
110,"Ōkāreka",15325,"110_0",-38.16232,176.363,NA,"Sandy",2024-10-31 11:20:00,"Cloudy",6.66666666666667,1,1,75.5268575777751,364.852620125138,332.247986624121,0.0601960005934556,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
111,"Ōkāreka",15325,"111_0",-38.1738,176.3558,NA,"Emergent Macrophyte",2024-10-31 14:00:00,"Sunny + windy",6.66666666666667,0,1,27.3722761079685,170.502061954915,170.208329893393,0.117503062350278,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
112,"Ōkāreka",15325,"112_0",-38.17972,176.3565,NA,"Muddy",2025-01-22 10:21:00,"Windy",9.2,1,1,408.788572834147,609.920969695244,777.172,0.0257343290803065,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
113,"Ōkāreka",15325,"113_0",-38.17637,176.3755,NA,"Rocky",2025-01-22 09:00:00,"Windy",9.2,0,1,72.7347524596545,169.449157280751,169.241617628642,0.118174242720162,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
114,"Ōkāreka",15325,"114_0",-38.16176,176.3557,NA,"Emergent Macrophyte",2024-10-31 11:00:00,"Cloudy + windy",6.4,0,1,25.298489894855,286.512485429741,285.328641897722,0.0700946104358116,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
115,"Ōkāreka",15325,"115_0",-38.17203,176.3559,NA,"Sandy",2024-10-31 13:40:00,"Cloudy + windy",6.66666666666667,1,1,37.8733887673673,97.7338097506548,92.7157039998513,0.215713187056554,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
116,"Ōkāreka",15325,"116_0",-38.17679,176.3551,NA,"Muddy",2024-10-31 13:10:00,"Sunny",6.66666666666667,1,1,219.022180413599,275.984384677454,466.526,0.0428700651196289,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
117,"Ōkāreka",15325,"117_0",-38.17063,176.3718,NA,"Rocky",2024-10-31 11:44:00,"Cloudy + windy",6.66666666666667,0,1,29.0055734674296,107.758977700133,105.815168000486,0.189008819604276,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
118,"Ōkāreka",15325,"118_0",-38.16735,176.3474,NA,"Sandy",2024-10-31 10:00:00,"Cloudy",7.4,1,1,67.6277318591988,360.591898835181,360.11133465248,0.0555383795939128,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
119,"Ōkāreka",15325,"119_0",-38.17664,176.3527,NA,"Emergent Macrophyte",2024-10-31 14:30:00,"Cloudy + windy",6.66666666666667,0,1,33.6496755721102,166.744947575335,166.710960104996,0.119968117197597,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
120,"Ōkāreka",15325,"120_0",-38.17284,176.3504,NA,"Sandy",2024-10-31 09:10:00,"Sunny + cloudy",6.2,1,1,40.2295087875804,108.398427875167,108.398427875167,0.184504520886892,NA,3434118.08964225,11094.5247032865,3.43411808964225,11.0945247032865,19.6,20,33.5,0.064,355,"Stratified",3.1,"Mesotrophic",65.2
