"Site_ID","Monitoring_ID","Weed_Type","Species","Scientific_name","Native_Status","Percentage_Cover"
111,"111_0","Submerged","Charophytes","Chara corallina/ Chara globularis","Native",100
111,"111_0","Turf",NA,NA,NA,0
112,"112_0","Emergent",NA,NA,NA,0
112,"112_0","Submerged",NA,NA,NA,0
112,"112_0","Turf","Turf_Lilae","Lilaeopsis","Native",50
113,"113_0","Emergent",NA,NA,NA,0
113,"113_0","Submerged",NA,NA,NA,0
113,"113_0","Turf",NA,NA,NA,0
114,"114_0","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",90
114,"114_0","Submerged",NA,NA,NA,0
114,"114_0","Turf",NA,NA,NA,0
115,"115_0","Emergent",NA,NA,NA,0
115,"115_0","Submerged",NA,NA,NA,0
115,"115_0","Turf",NA,NA,NA,0
116,"116_0","Emergent","Giant_spike_rush","Eleocharis sphacelata","Native",10
116,"116_0","Emergent","Water_lilies","Nymphaea spp.","Non_Native",30
116,"116_0","Submerged",NA,NA,NA,0
116,"116_0","Turf",NA,NA,NA,0
117,"117_0","Emergent",NA,NA,NA,0
117,"117_0","Submerged",NA,NA,NA,0
117,"117_0","Turf",NA,NA,NA,0
118,"118_0","Emergent",NA,NA,NA,0
118,"118_0","Submerged",NA,NA,NA,0
118,"118_0","Turf","Turf_Gloss","Glossostigma","Native",75
119,"119_0","Emergent","Raupō_(Bulrush)","Typha orientalis","Native",50
119,"119_0","Submerged","Charophytes","Chara corallina/ Chara globularis","Native",20
119,"119_0","Turf",NA,NA,NA,0
120,"120_0","Emergent",NA,NA,NA,0
120,"120_0","Submerged","Charophytes","Chara corallina/ Chara globularis","Native",10
120,"120_0","Turf","Turf_Gloss","Glossostigma","Native",90
