"site_id","monitoring_id","date_time_out","net_type","amount_nets","species","scientific_name","species_name","maori_name","native/nonnative","taonga","amount","sex","length_mm","weight_g","soft_shelled","berried","youngs","cups","mL","notes"
115,"115_0",2024-11-01 14:10:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",110,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
115,"115_0",2024-11-01 14:10:00,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:20:00,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",20,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
116,"116_0",2024-11-01 13:20:00,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,235,366,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,205,235,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,207,225,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,177,136,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,188,158,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,161,115,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,135,45,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,85,21,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,110,30,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,80,11,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,123,41,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,115,23,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,90,15,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,125,44,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,65,6,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.995,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",100,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",1000,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,75,4,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,195,224,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,90,8,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,63,4,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Goldfish","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,75,10,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",400,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
116,"116_0",2024-11-01 13:19:59.99,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,85,3,NA,NA,NA,NA,NA,NA
116,"116_0",2024-11-01 13:20:00,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"117_0",2024-11-01 12:30:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",30,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated"
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",37,35,NA,NA,NA,NA,NA,NA
