"Lake","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"Rotoiti","Wood cover","%",12,4.25,1.5,0,20,0.313457197880832,8.18654280211917
"Rotoehu","Wood cover","%",12,14.9166666666667,10,3,40,7.23727485491194,22.5960584784214
"Rotomā","Wood cover","%",12,10,10,0,30,4.13279087621288,15.8672091237871
"Ōkāreka","Wood cover","%",12,11.25,7.5,0,40,2.5630343061177,19.9369656938823
"All lakes","Wood cover","%",60,9.75,5,0,40,6.9646307903498,12.5353692096502
"Rotorua","Emergent macrophytes","%",12,0,0,0,0,0,0
"Rotoiti","Emergent macrophytes","%",12,9.5,0,0,100,-8.70732539719761,27.7073253971976
"Rotoehu","Emergent macrophytes","%",12,8.75,0,0,35,-0.744376127069893,18.2443761270699
"Rotomā","Emergent macrophytes","%",12,10.8333333333333,0,0,80,-4.77903132129926,26.4456979879659
"Ōkāreka","Emergent macrophytes","%",12,22.5,0,0,90,-0.348425941419961,45.34842594142
"All lakes","Emergent macrophytes","%",60,10.3166666666667,0,0,100,3.98405149220135,16.649281841132
"Rotorua","Submerged macrophytes","%",12,0.833333333333333,0,0,10,-1.00082096674303,2.6674876334097
"Rotoiti","Submerged macrophytes","%",12,0.833333333333333,0,0,10,-1.00082096674303,2.6674876334097
"Rotoehu","Submerged macrophytes","%",12,51.4166666666667,52.5,0,100,20.5060090456369,82.3273242876964
"Rotomā","Submerged macrophytes","%",12,21.6666666666667,10,0,85,2.20859278354108,41.1247405497923
"Ōkāreka","Submerged macrophytes","%",12,10.8333333333333,0,0,100,-7.43302197354685,29.0996886402135
"All lakes","Submerged macrophytes","%",60,17.1166666666667,0,0,100,8.42244355787508,25.8108897754583
"Rotorua","Temperature","Degree C",12,23.15,23.25,21.8,25.3,22.5166551699979,23.7833448300021
"Rotoiti","Temperature","Degree C",12,21.625,21.5,20.6,23.8,21.0301260208218,22.2198739791782
"Rotoehu","Temperature","Degree C",12,22.1083333333333,22.05,21.2,23,21.7218926086201,22.4947740580465
"Rotomā","Temperature","Degree C",12,17.0166666666667,16.85,16.3,18.1,16.6404515855356,17.3928817477977
"Ōkāreka","Temperature","Degree C",12,16.9833333333333,16.3,16,20.7,15.9267932989336,18.0398733677331
"All lakes","Temperature","Degree C",60,20.1766666666667,21.25,16,25.3,19.4420332067956,20.9113001265378
"Rotorua","Dissolved oxygen","mg/l",12,8.49083333333333,7.925,5.25,11.05,7.39379619461319,9.58787047205348
"Rotoiti","Dissolved oxygen","mg/l",12,9.5875,9.755,6.8,10.64,8.9218728863871,10.2531271136129
"Rotoehu","Dissolved oxygen","mg/l",12,10.3625,10.765,8.85,11.79,9.67293891953566,11.0520610804643
"Rotomā","Dissolved oxygen","mg/l",12,9.71583333333333,9.76,8.66,10.31,9.45447439023266,9.97719227643401
"Ōkāreka","Dissolved oxygen","mg/l",12,9.36583333333333,9.375,8.83,9.74,9.19674080095327,9.53492586571339
"All lakes","Dissolved oxygen","mg/l",60,9.5045,9.625,5.25,11.79,9.19907226377956,9.80992773622044
"Rotorua","Specific conductivity","µS/cm",12,205.35971510319,188.267177633911,156.196397941681,443.009043028918,156.394220762228,254.325209444151
"Rotoiti","Specific conductivity","µS/cm",12,163.112140610573,158.698635756461,155.786026200873,196.006475984889,156.223303323077,170.000977898069
"Rotoehu","Specific conductivity","µS/cm",12,458.890099634169,458.2166702563,455.441392325435,464.72198820556,456.905920860457,460.87427840788
"Rotomā","Specific conductivity","µS/cm",12,162.896587443061,161.792941178742,156.730769230769,174.96083865526,159.940792648322,165.8523822378
"Ōkāreka","Specific conductivity","µS/cm",12,76.3401323902193,76.1532325845695,75.6221309495047,78.5881195424917,75.8170967982755,76.8631679821631
"All lakes","Specific conductivity","µS/cm",60,213.319735036242,162.549723463917,75.6221309495047,464.72198820556,178.412463515273,248.227006557212
"Rotorua","pH","",12,6.94333333333333,7.04,3.78,7.69,6.29066111060775,7.59600555605892
"Rotoiti","pH","",12,8.6675,8.725,8.08,9.02,8.46118710097408,8.87381289902592
"Rotoehu","pH","",12,8.83083333333333,8.905,8.46,9.21,8.6766106101553,8.98505605651136
"Rotomā","pH","",12,7.8025,7.92,6.44,8.56,7.47370979019375,8.13129020980625
"Ōkāreka","pH","",12,8.325,8.29,7.77,9,8.14568897672813,8.50431102327187
"All lakes","pH","",60,8.11383333333333,8.28,3.78,9.21,7.88766744218129,8.33999922448538
"Rotorua","Presence Catfish","",12,0.0833333333333333,0,0,1,0.00210759323186023,0.384796165150944
"Rotoiti","Presence Catfish","",12,0.416666666666667,0,0,1,0.15165222980843,0.723330314317894
"Rotoehu","Presence Catfish","",12,0,0,0,0,0,0.264648469397051
"Rotomā","Presence Catfish","",12,0,0,0,0,0,0.264648469397051
"Ōkāreka","Presence Catfish","",12,0,0,0,0,0,0.264648469397051
"All lakes","Presence Catfish","",60,0.1,0,0,1,0.037591269108566,0.205057736708064
"Rotorua","Presence Eel","",12,0.333333333333333,0,0,1,0.0992460911495833,0.651124493581186
"Rotoiti","Presence Eel","",12,0.0833333333333333,0,0,1,0.00210759323186023,0.384796165150944
"Rotoehu","Presence Eel","",12,0,0,0,0,0,0.264648469397051
"Rotomā","Presence Eel","",12,0.25,0,0,1,0.0548606445279928,0.571858461878189
"Ōkāreka","Presence Eel","",12,0,0,0,0,0,0.264648469397051
"All lakes","Presence Eel","",60,0.133333333333333,0,0,1,0.0593644227053572,0.24592222113042
"Rotorua","Presence Goldfish","",12,0.0833333333333333,0,0,1,0.00210759323186023,0.384796165150944
"Rotoiti","Presence Goldfish","",12,0.666666666666667,1,0,1,0.348875506418814,0.900753908850417
"Rotoehu","Presence Goldfish","",12,1,1,1,1,0.735351530602949,1
"Rotomā","Presence Goldfish","",12,0.5,0.5,0,1,0.210944638239297,0.789055361760703
"Ōkāreka","Presence Goldfish","",12,0.25,0,0,1,0.0548606445279928,0.571858461878189
"All lakes","Presence Goldfish","",60,0.5,0.5,0,1,0.368062031942437,0.631937968057563
"Rotorua","Presence Common smelt","",12,0.25,0,0,1,0.0548606445279928,0.571858461878189
"Rotoiti","Presence Common smelt","",12,0.666666666666667,1,0,1,0.348875506418814,0.900753908850417
"Rotoehu","Presence Common smelt","",12,0.5,0.5,0,1,0.210944638239297,0.789055361760703
"Rotomā","Presence Common smelt","",12,0.416666666666667,0,0,1,0.15165222980843,0.723330314317894
"Ōkāreka","Presence Common smelt","",12,0.583333333333333,1,0,1,0.276669685682106,0.84834777019157
"All lakes","Presence Common smelt","",60,0.483333333333333,0,0,1,0.352312930002126,0.616053982668403
"Rotorua","Presence Kōaro","",12,0,0,0,0,0,0.264648469397051
"Rotoiti","Presence Kōaro","",12,0,0,0,0,0,0.264648469397051
"Rotoehu","Presence Kōaro","",12,0,0,0,0,0,0.264648469397051
"Rotomā","Presence Kōaro","",12,0,0,0,0,0,0.264648469397051
"Ōkāreka","Presence Kōaro","",12,0.666666666666667,1,0,1,0.348875506418814,0.900753908850417
"All lakes","Presence Kōaro","",60,0.133333333333333,0,0,1,0.0593644227053572,0.24592222113042
"Rotorua","Presence Trout","",12,0.166666666666667,0,0,1,0.0208625254600924,0.484137748685967
"Rotoiti","Presence Trout","",12,0.166666666666667,0,0,1,0.0208625254600924,0.484137748685967
"Rotoehu","Presence Trout","",12,0,0,0,0,0,0.264648469397051
"Rotomā","Presence Trout","",12,0,0,0,0,0,0.264648469397051
"Ōkāreka","Presence Trout","",12,0.166666666666667,0,0,1,0.0208625254600924,0.484137748685967
"All lakes","Presence Trout","",60,0.1,0,0,1,0.037591269108566,0.205057736708064
